?????????,16-31.01,,,,
7,90.42857142857143,,,,
"??????, ?????, ?????? 2, ??????, ?????, ????????, ?????",,,,,
,?,633,,,
????????,?? ???????,?? ?????,???????????,??????? ? ,???. ???????????
??????? / ???,,,,,
???? ??????? ??,8 ??,7 ??,-1 ??,0,???????? ? ???? ?????
???? ????? ??,2 ??,3 ??,1 ?? +,0,
??????? ? ?????? / ?????????,2 ??,0 ??,-2 ??,0,???????? ? ??????? ?????? 1 ??
??????? ? ???????,-1 ??,0 ??,1 ?? +,0,
??? ? ??????? ? ???????,10 ??,9 ??,-1 ??,125,
?????????? ?????/ ????/ ????????,21 ??,27 ??,6 ?? +,0,
????? 1 ???.,1 ??,0 ??,-1 ??,113,
???? ???????? ??,11 ??,10 ??,-1 ??,0,???????? ? ??????? ????????
???? ???,4 ??,6 ??,2 ?? +,0,
???????,11 ??,9 ??,-2 ??,0,???????? ? ???? ???
???????? ??,6 ??,5 ??,-1 ??,120,
?????? ?? ???????,28 ??,27 ??,-1 ??,55,
???????? ?? ?????????,36 ??,35 ??,-1 ??,70,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
?????,,,,483,
,,,,,
"???? ? ????????, ?????????, ???? ????????, ????? ?????",,,,,
???? ??? ???????? (?????),75 ??,77 ??,2 ??,0,
???? ??? ???????? 85+ (?????) ????????,10 ??,9 ??,-1 ??,30,
,,,,,
,,,,,
?????,,,,30,
,,,,,
??????? / ??? / ?????,,,,,
???????? ??????????? 250,1 ??,0 ??,-1 ??,120,739 ??? ???????? ? ???????
???? ???????? ????-??-????? 10 ??,3 ??,4 ??,1 ?? +,0,619 ???
,,,,,
,,,,,
?????,,,,120,