,РАННЕР
,,П О Н Е Д Е Л Ь Н И К
,"начало смены 

","Проверить туалет на чистоту, при необходимости помыть",FALSE
,,"Витрина: 
• Проверить на чистоту: протереть снаружи при необходимости
• Проверить в витрине еду на сбор конденсата, протереть при необходимости, либо поменять местами позиции (поставив нижний на верхний)
• Все черные ценники стоят напротив десертов; все позиции без конденсата и стоят по одной линии, белым ценником к гостю.
пример, как должна выглядеть витрина",FALSE
,,"Проверить столы на чистоту, наполненность салфетниц и расходников для гостей",FALSE
,,"Входная зона:
• Протереть фасад / окна с внешней стороны
• Протереть входную дверь с ручкой внешне/изнутри 
• Протереть лампочки на фасаде",FALSE
,,"Уличная зона:
• Убрать окурки
• Протереть уличные подоконники
• Убрать клумбы (если в них есть мусор)
• Подмести у входа ",FALSE

,"середина смены

","Помыть окна с внутренней стороны (при отсутствии гостей в залах)
*внимательнее к разводам! мыть окна лучше всего только новой чистой тряпкой",FALSE
,,"Протереть барную зону: полка с дрипами, горячим шоколадом
полка с соком, водой, пряниками",FALSE
,,Протереть черные полки за баром – лицевая часть гостя,FALSE
,,Протереть навесные полки во всех залах и за баром,FALSE
,,Запросить у Бариста список по сборке перемещения в другие кофейни. Собрать перемещение четко по списку,FALSE
,,Протереть лицевую часть бара,FALSE
,,Накрутить перчатки для онигурадзу,FALSE
,,Протереть настенное меню и полку с сиропами и банками чая,FALSE

,"

в течение дня (проверять каждый час в зависимости от загруженности)","Проверить товарную витрину (стеллажи с кофе) на правильную сортировку по ротации, а также на аккуратность.
Все упаковки стоят ровно с примерно одинаковым расстоянием друг к другу
пример стеллаж 1 
пример стеллаж 2",FALSE
,,Помыть посуду по мере необходимости,FALSE
,,"Выполнить мелкие поручения (доставка зерна, покупка продуктов)
*при необходимости будет поставлена задача от Бариста",FALSE
,,"Очистить кресла от крошек 
*важно очищать в местах зазоров, где спинка переходит в седушку",FALSE
,,"Проверить витрину на чистоту, протереть витрину снаружи, а внутри по мере загрязнения ",FALSE
,,"Проверить на чистоту полы в кофейне. При необходимости подмести, протереть. 
При подметании/мытье пола обязательно очищать металлические пороги от грязи. А также под ковриком при входе",FALSE
,,Наполнить расходники для гостей (органайзер) и салфетницы на столах ,FALSE
,,"Наполнить зону бара на продажу гостям: дрипы, чай, сок, вода 0,5, батончики",FALSE
,,"Наполнить расходники за баром (трубочки, сахар, пакеты)",FALSE
,,Протереть лицевую часть бара,FALSE
,,"Проверить зону туалета на чистоту: унитаз, раковины, зеркало
Проверить в туалетной зоне наполнение в диспенсерах: мыло, бумажные полотенца, т/б",FALSE
,,"Протереть снаружи и внутри все органайзеры от пыли и грязи (за баром персональский, на баре гостевой)",FALSE
,,Протереть ножки столов и стульев (задача выполняется один раз – вечером),FALSE


,РАННЕР
,,В Т О Р Н И К
,"начало смены 

","Проверить туалет на чистоту, при необходимости помыть",TRUE
,,"Витрина: 
• Проверить на чистоту: протереть снаружи при необходимости
• Проверить в витрине еду на сбор конденсата, протереть при необходимости, либо поменять местами позиции (поставив нижний на верхний)
• Все черные ценники стоят напротив десертов; все позиции без конденсата и стоят по одной линии, белым ценником к гостю.
пример, как должна выглядеть витрина",TRUE
,,"Проверить столы на чистоту, наполненность салфетниц и расходников для гостей",TRUE
,,"Входная зона:
• Протереть фасад / окна с внешней стороны
• Протереть входную дверь с ручкой внешне/изнутри 
• Протереть лампочки на фасаде",TRUE
,,"Уличная зона:
• Убрать окурки
• Протереть уличные подоконники
• Убрать клумбы (если в них есть мусор)
• Подмести у входа ",TRUE

,"середина смены

","*Важно! перед тем как приступить к данной задаче – спросить у Бариста об актуальности выполнения задачи

Цветы: 
•  Проверить внутри кофейни цветы на полив. При сухости земли – полить
•  Полить на улице цветы: Туи слева от входа и в горшках.
(на один цветок – одна большая зеленая лейка. поливаем исходя из погодных условий!)",TRUE
,,Запросить у Бариста список по сборке перемещения в другие кофейни. Собрать перемещение четко по списку,TRUE
,,"Протереть стеллаж и упаковки зерна справа от витрины, а также батарею и кафель под стеллажом",TRUE
,,"Отодвинуть ледогенератор, холодильник – почистить все за ними, протереть мусорные баки",TRUE
,,"Пройтись по кофейне, убрать паутину с углов, потолка, цветов",TRUE
,,Протереть плинтуса в кофейне и туалете,TRUE
,,"В сезон: сбор заготок на смузи
*важно! собираем заготовки согласно подсказке по смузи (запросить у Бариста граммовки)",TRUE
,,Помыть раковину за баром с химией,TRUE

,"

в течение дня (проверять каждый час в зависимости от загруженности)","Проверить товарную витрину (стеллажи с кофе) на правильную сортировку по ротации, а также на аккуратность.
Все упаковки стоят ровно с примерно одинаковым расстоянием друг к другу
пример стеллаж 1 
пример стеллаж 2",TRUE
,,Помыть посуду по мере необходимости,TRUE
,,"Выполнить мелкие поручения (доставка зерна, покупка продуктов)
*при необходимости будет поставлена задача от Бариста",TRUE
,,"Очистить кресла от крошек 
*важно очищать в местах зазоров, где спинка переходит в седушку",TRUE
,,"Проверить витрину на чистоту, протереть витрину снаружи, а внутри по мере загрязнения ",TRUE
,,"Проверить на чистоту полы в кофейне. При необходимости подмести, протереть. 
При подметании/мытье пола обязательно очищать металлические пороги от грязи. А также под ковриком при входе",TRUE
,,Наполнить расходники для гостей (органайзер) и салфетницы на столах ,TRUE
,,"Наполнить зону бара на продажу гостям: дрипы, чай, сок, вода 0,5, батончики",TRUE
,,"Наполнить расходники за баром (трубочки, сахар, пакеты)",TRUE
,,Протереть лицевую часть бара,TRUE
,,"Проверить зону туалета на чистоту: унитаз, раковины, зеркало
Проверить в туалетной зоне наполнение в диспенсерах: мыло, бумажные полотенца, т/б",TRUE
,,"Протереть снаружи и внутри все органайзеры от пыли и грязи (за баром персональский, на баре гостевой)",TRUE
,,Протереть ножки столов и стульев (задача выполняется один раз – вечером),TRUE


,РАННЕР
,,С Р Е Д А
,"начало смены 

","Проверить туалет на чистоту, при необходимости помыть",TRUE
,,"Витрина: 
• Проверить на чистоту: протереть снаружи при необходимости
• Проверить в витрине еду на сбор конденсата, протереть при необходимости, либо поменять местами позиции (поставив нижний на верхний)
• Все черные ценники стоят напротив десертов; все позиции без конденсата и стоят по одной линии, белым ценником к гостю.
пример, как должна выглядеть витрина",TRUE
,,"Проверить столы на чистоту, наполненность салфетниц и расходников для гостей",TRUE
,,"Входная зона:
• Протереть фасад / окна с внешней стороны
• Протереть входную дверь с ручкой внешне/изнутри 
• Протереть лампочки на фасаде",TRUE
,,"Уличная зона:
• Убрать окурки
• Протереть уличные подоконники
• Убрать клумбы (если в них есть мусор)
• Подмести у входа ",TRUE

,"середина смены

","Протереть световые источники в кофейне, кондиционеры",TRUE
,,"Протереть барную зону: полка с дрипами, горячим шоколадом
полка с соком, водой, пряниками",TRUE
,,Запросить у Бариста список по сборке перемещения в другие кофейни. Собрать перемещение четко по списку,TRUE
,,Протереть черные полки за баром – лицевая часть гостя,TRUE
,,"Проверить черные ценники на дубли и соответствие с ценами. При необходимости стереть дубли, либо скорректировать цену",TRUE
,,Протереть стеллаж с пачками напротив бара и кафель под стеллажом,TRUE
,,"Протереть все удлинители, розетки, выключатели",TRUE
,,"Помыть все проемы за баром, между витриной и полом",TRUE

,"

в течение дня (проверять каждый час в зависимости от загруженности)","Проверить товарную витрину (стеллажи с кофе) на правильную сортировку по ротации, а также на аккуратность.
Все упаковки стоят ровно с примерно одинаковым расстоянием друг к другу
пример стеллаж 1 
пример стеллаж 2",TRUE
,,Помыть посуду по мере необходимости,TRUE
,,"Выполнить мелкие поручения (доставка зерна, покупка продуктов)
*при необходимости будет поставлена задача от Бариста",TRUE
,,"Очистить кресла от крошек 
*важно очищать в местах зазоров, где спинка переходит в седушку",TRUE
,,"Проверить витрину на чистоту, протереть витрину снаружи, а внутри по мере загрязнения ",TRUE
,,"Проверить на чистоту полы в кофейне. При необходимости подмести, протереть. 
При подметании/мытье пола обязательно очищать металлические пороги от грязи. А также под ковриком при входе",TRUE
,,Наполнить расходники для гостей (органайзер) и салфетницы на столах ,TRUE
,,"Наполнить зону бара на продажу гостям: дрипы, чай, сок, вода 0,5, батончики",TRUE
,,"Наполнить расходники за баром (трубочки, сахар, пакеты)",TRUE
,,Протереть лицевую часть бара,TRUE
,,"Проверить зону туалета на чистоту: унитаз, раковины, зеркало
Проверить в туалетной зоне наполнение в диспенсерах: мыло, бумажные полотенца, т/б",TRUE
,,"Протереть снаружи и внутри все органайзеры от пыли и грязи (за баром персональский, на баре гостевой)",TRUE
,,Протереть ножки столов и стульев (задача выполняется один раз – вечером),TRUE


,РАННЕР
,,Ч Е Т В Е Р Г
,"начало смены 

","Проверить туалет на чистоту, при необходимости помыть",FALSE
,,"Витрина: 
• Проверить на чистоту: протереть снаружи при необходимости
• Проверить в витрине еду на сбор конденсата, протереть при необходимости, либо поменять местами позиции (поставив нижний на верхний)
• Все черные ценники стоят напротив десертов; все позиции без конденсата и стоят по одной линии, белым ценником к гостю.
пример, как должна выглядеть витрина",FALSE
,,"Проверить столы на чистоту, наполненность салфетниц и расходников для гостей",FALSE
,,"Входная зона:
• Протереть фасад / окна с внешней стороны
• Протереть входную дверь с ручкой внешне/изнутри 
• Протереть лампочки на фасаде",FALSE
,,"Уличная зона:
• Убрать окурки
• Протереть уличные подоконники
• Убрать клумбы (если в них есть мусор)
• Подмести у входа ",FALSE

,"середина смены

",Помыть окна с внутренней стороны,FALSE
,,Запросить у Бариста список по сборке перемещения в другие кофейни. Собрать перемещение четко по списку,FALSE
,,"Разморозить и помыть вертикальную морозилку на балконе (1 раз в месяц)
*Важно! перед тем как приступить к данной задаче – спросить у Бариста об актуальности выполнения задачи",FALSE
,,В летний период: сбор заготок на смузи,FALSE
,,"Протереть вытяжку: при входе, в зале с обоих сторон",FALSE
,,"Убраться в коробках с расходниками:
* коробка с трубочками, сахар стиком
* коробка с пакетами
* коробка с перчатками, вилками
* коробка с орешками, трост. сахаром
* коробка с пачками чая
* коробка и органайзеры под кассой",FALSE
,,Помыть раковину за баром с химией,FALSE
,,"*Важно! перед тем как приступить к данной задаче – спросить у Бариста об актуальности выполнения задачи

Убраться на складе:
• протереть стеллажи (если пыльные)
• разложить аккуратно расходники
• при отсутствии зерна/шоколада на стеллаже – доложить их из коробки",FALSE

,"

в течение дня (проверять каждый час в зависимости от загруженности)","Проверить товарную витрину (стеллажи с кофе) на правильную сортировку по ротации, а также на аккуратность.
Все упаковки стоят ровно с примерно одинаковым расстоянием друг к другу
пример стеллаж 1 
пример стеллаж 2",FALSE
,,Помыть посуду по мере необходимости,FALSE
,,"Выполнить мелкие поручения (доставка зерна, покупка продуктов)
*при необходимости будет поставлена задача от Бариста",FALSE
,,"Очистить кресла от крошек 
*важно очищать в местах зазоров, где спинка переходит в седушку",FALSE
,,"Проверить витрину на чистоту, протереть витрину снаружи, а внутри по мере загрязнения ",FALSE
,,"Проверить на чистоту полы в кофейне. При необходимости подмести, протереть. 
При подметании/мытье пола обязательно очищать металлические пороги от грязи. А также под ковриком при входе",FALSE
,,Наполнить расходники для гостей (органайзер) и салфетницы на столах ,FALSE
,,"Наполнить зону бара на продажу гостям: дрипы, чай, сок, вода 0,5, батончики",FALSE
,,"Наполнить расходники за баром (трубочки, сахар, пакеты)",FALSE
,,Протереть лицевую часть бара,FALSE
,,"Проверить зону туалета на чистоту: унитаз, раковины, зеркало
Проверить в туалетной зоне наполнение в диспенсерах: мыло, бумажные полотенца, т/б",FALSE
,,"Протереть снаружи и внутри все органайзеры от пыли и грязи (за баром персональский, на баре гостевой)",FALSE
,,Протереть ножки столов и стульев (задача выполняется один раз – вечером),FALSE


,РАННЕР
,,П Я Т Н И Ц А
,"начало смены 

","Проверить туалет на чистоту, при необходимости помыть",FALSE
,,"Витрина: 
• Проверить на чистоту: протереть снаружи при необходимости
• Проверить в витрине еду на сбор конденсата, протереть при необходимости, либо поменять местами позиции (поставив нижний на верхний)
• Все черные ценники стоят напротив десертов; все позиции без конденсата и стоят по одной линии, белым ценником к гостю.
пример, как должна выглядеть витрина",FALSE
,,"Проверить столы на чистоту, наполненность салфетниц и расходников для гостей",FALSE
,,"Входная зона:
• Протереть фасад / окна с внешней стороны
• Протереть входную дверь с ручкой внешне/изнутри 
• Протереть лампочки на фасаде",FALSE
,,"Уличная зона:
• Убрать окурки
• Протереть уличные подоконники
• Убрать клумбы (если в них есть мусор)
• Подмести у входа ",FALSE

,"середина смены

","Пройтись по кофейне, убрать паутину с углов, потолка, цветов",FALSE
,,"Протереть барную зону: полка с дрипами, горячим шоколадом
полка с соком, водой, пряниками",FALSE
,,Протереть плинтуса в кофейне и туалете,FALSE
,,Накрутить перчатки для онигурадзу,FALSE
,,Протереть настенное меню и полку с сиропами и банками чая,FALSE
,,Протереть черные полки за баром и навести порядок - со стороны кассы,FALSE

,"

в течение дня (проверять каждый час в зависимости от загруженности)","Проверить товарную витрину (стеллажи с кофе) на правильную сортировку по ротации, а также на аккуратность.
Все упаковки стоят ровно с примерно одинаковым расстоянием друг к другу
пример стеллаж 1 
пример стеллаж 2",FALSE
,,Помыть посуду по мере необходимости,FALSE
,,"Выполнить мелкие поручения (доставка зерна, покупка продуктов)
*при необходимости будет поставлена задача от Бариста",FALSE
,,"Очистить кресла от крошек 
*важно очищать в местах зазоров, где спинка переходит в седушку",FALSE
,,"Проверить витрину на чистоту, протереть витрину снаружи, а внутри по мере загрязнения ",FALSE
,,"Проверить на чистоту полы в кофейне. При необходимости подмести, протереть. 
При подметании/мытье пола обязательно очищать металлические пороги от грязи. А также под ковриком при входе",FALSE
,,Наполнить расходники для гостей (органайзер) и салфетницы на столах ,FALSE
,,"Наполнить зону бара на продажу гостям: дрипы, чай, сок, вода 0,5, батончики",FALSE
,,"Наполнить расходники за баром (трубочки, сахар, пакеты)",FALSE
,,Протереть лицевую часть бара,FALSE
,,"Проверить зону туалета на чистоту: унитаз, раковины, зеркало
Проверить в туалетной зоне наполнение в диспенсерах: мыло, бумажные полотенца, т/б",FALSE
,,"Протереть снаружи и внутри все органайзеры от пыли и грязи (за баром персональский, на баре гостевой)",FALSE
,,Протереть ножки столов и стульев (задача выполняется один раз – вечером),FALSE
