№,Наименование,Ед. измерения,25.01.25
1,"Крупы, мука",,
1,Киноа,кг,"2,28"
2,Кус кус птитим,кг,4
3,Мука пшеничная,кг,
4,Рис,кг,"20,546"
5,Тесто замороженное,кг,
6,Тортилья пшеничная,шт,210
7,Фасоль красная,кг,4
2,Специи (сыпучие),,
1,Зира,кг,"0,305"
2,Имбирь сушеный,кг,"0,37"
3,Карри,кг,"0,3"
4,Копченная паприка,кг,"0,36"
5,Приправа для курицы,кг,"0,65"
6,Прованские травы,кг,"0,1"
7,Сахар (белый),кг,"5,65"
8,Сода,кг,"0,5"
9,Соль,кг,"2,5"
10,Сушеный базилик,кг,"0,045"
11,Черный перец горошек,кг,"0,18"
12,Ароматизатор ванилин,кг,"0,15"
3,Овощи,,
1,Айсберг,кг,"6,356"
2,Баклажаны,кг,"5,2"
3,Болгарский перец,кг,"9,23"
4,Картофель,кг,"2,99"
5,Лук (ялт.),кг,"1,36"
6,Огурцы,кг,"5,76"
7,Помидоры,кг,"5,83"
8,Чеснок,кг,"0,4"
4,Зелень свежая,,
1,Кинза,,0
2,Кудрявая петрушка,,"0,14"
5,Молочные продукты,,
1,Адыгейский сыр,кг,"2,176"
2,Голландский сыр,кг,"1,5"
3,Крем чиз,кг,"4,16"
4,Майонез,кг,"13,1"
5,Пармезан,кг,"1,7"
6,Яйцо перепелинное,шт,39
6,Орехи,,
1,Грецкий орех,кг,"0,8"
2,Кешью,кг,"0,42"
3,Кунжут,кг,"0,63"
7,Мясо / морепродукты,,
1,Икра масага (красная),кг,"0,71"
2,Индейка марин. ,кг,"3,2"
3,Краб,кг,"0,9"
4,Креветка марин. ,кг,"1,3"
5,Курица марин.,кг,"1,78"
6,Нори (морская капуста),кг,"0,32"
7,Семга замороженная,кг,5
8,Консервы ,,
1,Кукуруза в банке,шт,11
2,Маслины,шт,3
9,"Масла, соусы",,
1,Васаби,л,"0,32"
2,Горчица вместе с тарой,л,"0,358"
3,Дымок,л,"0,03"
4,Мицукан (рисовый уксус),л,
5,Оливковое масло,л,"2,85"
6,Растительное масло,л,"5,73"
7,Соевый концентрат,л,"21,5"
8,Соус барбекю,л,"2,5"
9,Соус гриль,л,0
10,Соус терияки,л,"2,4"
11,Соус цезарь,л,"1,7"
12,Соус чили,л,"2,8"
13,Томатная паста,кг,5
14,Уксус,л,"3,95"
,Карбонад,,"1,6кг"
,Базилик,,"0,41кг"
,Сметана,,"0,8кг"
,Марин.огурцы,,"0,47кг"
,Мицукан п/ф,,"3,946кг"
,Кускус мелкие крупы,,"2,7кг"
,Креветка замор.,,"3,6кг"
,Хлеб на сендвичи,,"4,140кг"
,Индейка замор.,,"13,735кг"
,Курица замор.,,"13,593кг"
,Готовый томатный соус,,"2,33кг"
,Готовый соус карри,,"2,482кг"
,Готовый соус песто,,"1,42кг"
,Готовый соус спайси,,"1,39кг"
,Грецкий орех молотый ,,"0,07кг"