,,,,,,,,,,,,,,,,,,,,,,,,,,
Темный шоколад 70% ДОМИНИКАНА,0.0,1.0,шт,360.0,360.0,41.67,150.0,,,510.0,510.0,,,,,,,,,,,,,,,
Темный шоколад МАНГО В КУБЕ,0.0,1.0,шт,370.0,370.0,37.84,140.0,,,510.0,510.0,,,,,,,,,,,,,,,
Плитка РАФАЭЛЬ  Б.ш. / 50 гр,0.0,1.0,шт,,,,500.0,,,500.0,500.0,,,,,,,,,,,,,,,
Темный шоколад ВЬЕТНАМ OCA 70%,0.0,1.0,шт,370.0,370.0,35.14,130.0,,,500.0,500.0,,,,,,,,,,,,,,,
Темный шоколад ПРЯНАЯ КЛУБНИКА,0.0,1.0,шт,,,,500.0,,,500.0,500.0,,,,,,,,,,,,,,,
Чай Тегуанинь 100 гр,0.0,1.0,шт,215.0,215.0,132.56,285.0,,,500.0,500.0,,,,,,,,,,,,,,,
Темный шоколад ОРЕХОВЫЙ ВАЙБ,0.0,1.0,шт,350.0,350.0,40.0,140.0,,,490.0,490.0,,,,,,,,,,,,,,,
Плитка ГОНДУРАС М. ш. / 50 гр,0.0,1.0,шт,,,,450.0,,,450.0,450.0,,,,,,,,,,,,,,,
Плитка ТАЙНА ВОНКИ / 50 гр,0.0,1.0,шт,,,,450.0,,,450.0,450.0,,,,,,,,,,,,,,,
Дрип микс 1 шт. TASTY,0.0,3.0,шт,,,,405.0,,,135.0,405.0,,,,,,,,,,,,,,,
Смузи Желтый,0.0,1.0,шт,19.1,19.1,1989.01,379.9,,,399.0,399.0,,,,,,,,,,,,,,,
Смузи Зеленый,0.0,1.0,шт,2.3,2.3,17247.83,396.7,,,399.0,399.0,,,,,,,,,,,,,,,
Смузи Красный,0.0,1.0,шт,19.1,19.1,1989.01,379.9,,,399.0,399.0,,,,,,,,,,,,,,,
Чай липовый 100 гр.,0.0,1.0,шт,,,,389.0,,,389.0,389.0,,,,,,,,,,,,,,,
Боржоми,0.0,2.0,шт,,,,380.0,,,190.0,380.0,,,,,,,,,,,,,,,
Матча айс,0.0,1.0,шт,20.7,20.7,1735.75,359.3,,,380.0,380.0,,,,,,,,,,,,,,,
Матча альт,0.0,1.0,шт,9.94,9.94,3622.33,360.06,,,370.0,370.0,,,,,,,,,,,,,,,
Латте декаф альт.,0.0,1.0,шт,9.95,9.95,3518.09,350.05,,,360.0,360.0,,,,,,,,,,,,,,,
Чай Молихуа Жасмин 100 гр,0.0,1.0,шт,,,,350.0,,,350.0,350.0,,,,,,,,,,,,,,,
Чай Сенча 100 гр,0.0,1.0,шт,,,,350.0,,,350.0,350.0,,,,,,,,,,,,,,,
Чай Чабрец 100 гр,0.0,1.0,шт,,,,350.0,,,350.0,350.0,,,,,,,,,,,,,,,
Чай Клюква АЙС,0.0,1.0,шт,2.3,2.3,14247.83,327.7,,,330.0,330.0,,,,,,,,,,,,,,,
Сливки / 50 гр,0.0,5.0,шт,8.95,44.75,570.39,255.25,,,60.0,300.0,,,,,,,,,,,,,,,
Чай «Таёжный» 50 гр,0.0,1.0,шт,180.0,180.0,66.67,120.0,,,300.0,300.0,,,,,,,,,,,,,,,
Эспрессо тоник с сиропом,0.0,1.0,шт,54.37,54.37,433.38,235.63,,,290.0,290.0,,,,,,,,,,,,,,,
Американо АЙС,0.0,1.0,шт,35.69,35.69,684.53,244.31,,,280.0,280.0,,,,,,,,,,,,,,,
Американо декаф М,0.0,1.0,шт,8.55,8.55,2005.26,171.45,,,180.0,180.0,,,,,,,,,,,,,,,
Кофе персонал,0.0,3.0,шт,19.87,59.61,151.64,90.39,,,50.0,150.0,,,,,,,,,,,,,,,
Помол зерна (250 гр),0.0,1.0,шт,,,,150.0,,,150.0,150.0,,,,,,,,,,,,,,,
Чай рассыпной «Шёпот трав» 25 гр,0.0,1.0,шт,90.0,90.0,66.67,60.0,,,150.0,150.0,,,,,,,,,,,,,,,
Молоко персонал,0.0,4.0,шт,92.0,368.0,-61.96,-228.0,,,35.0,140.0,,,,,,,,,,,,,,,
Мед / 15 гр,0.0,2.0,шт,,,,100.0,,,50.0,100.0,,,,,,,,,,,,,,,
Альтернативное молоко / 50 гр,0.0,1.0,шт,0.12,0.12,74900.0,89.88,,,90.0,90.0,,,,,,,,,,,,,,,
Стакан пластик 300 мл,0.0,2.0,шт,,,,80.0,,,40.0,80.0,,,,,,,,,,,,,,,
Стакан 250,0.0,1.0,шт,4.96,4.96,504.84,25.04,,,30.0,30.0,,,,,,,,,,,,,,,
Пакет крафт,0.0,1.0,шт,8.4,8.4,197.62,16.6,,,25.0,25.0,,,,,,,,,,,,,,,
Мята / 2-3 лист.,0.0,2.0,шт,,,,20.0,,,10.0,20.0,,,,,,,,,,,,,,,
Стакан 250 (персонал),0.0,1.0,шт,4.96,4.96,41.13,2.04,,,7.0,7.0,,,,,,,,,,,,,,,
Настройка помола двойник,0.0,12.0,шт,28.79,345.49,-100.0,-345.49,,,,,,,,,,,,,,,,,,,
Настройка помола одинарная,0.0,1.0,шт,20.28,20.28,-100.0,-20.28,,,,,,,,,,,,,,,,,,,
"ул. Самокиша, д. 5б",0.0,2126.0,,67.82,144195.87,274.08,395214.13,26.0,23.0,253.72,539410.0,,,,,,,,,,,,,,,
Капучино,0.0,210.0,шт,44.28,9299.2,329.07,30600.8,8.0,7.0,190.0,39900.0,,,,,,,,,,,,,,,
Большой Капучино,0.0,156.0,шт,67.91,10593.62,268.15,28406.38,7.0,7.0,250.0,39000.0,,,,,,,,,,,,,,,
Американо,0.0,226.0,шт,26.69,6031.42,424.59,25608.58,6.0,6.0,140.0,31640.0,,,,,,,,,,,,,,,
Латте,0.0,111.0,шт,55.67,6179.73,295.16,18240.27,5.0,5.0,220.0,24420.0,,,,,,,,,,,,,,,
Онигурадзу семга/ краб/ креветка,0.0,45.0,шт,75.0,3375.0,472.18,15936.0,4.0,4.0,429.13,19311.0,,,,,,,,,,,,,,,
Флетуайт,0.0,69.0,шт,58.21,4016.58,312.29,12543.42,3.0,3.0,240.0,16560.0,,,,,,,,,,,,,,,
Сэндвич,0.0,43.0,шт,94.48,4062.5,245.16,9959.5,3.0,3.0,326.09,14022.0,,,,,,,,,,,,,,,
Десерт 350,0.0,40.0,шт,180.0,7200.0,77.17,5556.0,1.0,2.0,318.9,12756.0,,,,,,,,,,,,,,,
Моти,0.0,53.0,шт,120.0,6360.0,77.44,4925.0,1.0,2.0,212.92,11285.0,,,,,,,,,,,,,,,
Ролл креветка ВК,0.0,26.0,шт,193.85,5040.0,94.15,4745.0,1.0,2.0,376.35,9785.0,,,,,,,,,,,,,,,
Большой американо,0.0,43.0,шт,41.49,1783.92,430.29,7676.08,2.0,2.0,220.0,9460.0,,,,,,,,,,,,,,,
Капучино альт. Б,0.0,24.0,шт,86.61,2078.73,281.0,5841.27,1.0,1.0,330.0,7920.0,,,,,,,,,,,,,,,
Хани 1 кг,0.0,3.0,шт,,,,7827.0,2.0,1.0,2609.0,7827.0,,,,,,,,,,,,,,,
Ролл Индейка ВК,0.0,24.0,шт,82.5,1980.0,281.87,5581.0,1.0,1.0,315.04,7561.0,,,,,,,,,,,,,,,
Ролл Курица ВК,0.0,23.0,шт,76.52,1760.0,317.1,5581.0,1.0,1.0,319.17,7341.0,,,,,,,,,,,,,,,
Бразилия Серрадо 1 кг,0.0,3.0,шт,931.67,2795.0,155.35,4342.0,1.0,1.0,2379.0,7137.0,,,,,,,,,,,,,,,
Натти 1кг,0.0,3.0,шт,,,,7137.0,2.0,1.0,2379.0,7137.0,,,,,,,,,,,,,,,
Хорнет Б,0.0,19.0,шт,39.4,748.52,763.04,5711.48,1.0,1.0,340.0,6460.0,,,,,,,,,,,,,,,
Блины с курицей и грибами,0.0,20.0,шт,170.0,3400.0,74.41,2530.0,1.0,1.0,296.5,5930.0,,,,,,,,,,,,,,,
Трубочка со сгущенкой,0.0,38.0,шт,80.0,3040.0,90.79,2760.0,1.0,1.0,152.63,5800.0,,,,,,,,,,,,,,,
Чай Облепиха,0.0,20.0,шт,9.69,193.87,2788.53,5406.13,1.0,1.0,280.0,5600.0,,,,,,,,,,,,,,,
Онигурадзу Шеф,0.0,12.0,шт,88.89,1066.67,413.75,4413.33,1.0,1.0,456.67,5480.0,,,,,,,,,,,,,,,
Капучино альт. М,0.0,19.0,шт,56.04,1064.78,399.63,4255.22,1.0,1.0,280.0,5320.0,,,,,,,,,,,,,,,
Блины с ветчиной и сыром,0.0,19.0,шт,180.0,3420.0,54.85,1876.0,,1.0,278.74,5296.0,,,,,,,,,,,,,,,
Вупи пай,0.0,20.0,шт,120.0,2400.0,103.96,2495.0,1.0,1.0,244.75,4895.0,,,,,,,,,,,,,,,
Сироп / 20 гр,0.0,81.0,шт,,,,4860.0,1.0,1.0,60.0,4860.0,,,,,,,,,,,,,,,
Эфиопия Иргачефф 1кг,0.0,2.0,шт,,,,4760.0,1.0,1.0,2380.0,4760.0,,,,,,,,,,,,,,,
Эспрессо,0.0,33.0,шт,21.5,709.34,551.31,3910.66,1.0,1.0,140.0,4620.0,,,,,,,,,,,,,,,
Какао,0.0,15.0,шт,33.62,504.27,792.38,3995.73,1.0,1.0,300.0,4500.0,,,,,,,,,,,,,,,
Чай в стакан,0.0,27.0,шт,9.71,262.16,1547.85,4057.84,1.0,1.0,160.0,4320.0,,,,,,,,,,,,,,,
Хорнет Горячий,0.0,13.0,шт,42.22,548.86,681.62,3741.14,1.0,1.0,330.0,4290.0,,,,,,,,,,,,,,,
Доппио,0.0,19.0,шт,39.66,753.57,454.69,3426.43,1.0,1.0,220.0,4180.0,,,,,,,,,,,,,,,
Хорнет,0.0,14.0,шт,20.6,288.37,1307.91,3771.63,1.0,1.0,290.0,4060.0,,,,,,,,,,,,,,,
Умами ГРЕЧКА / РИС,0.0,11.0,шт,240.91,2650.0,52.45,1390.0,,1.0,367.27,4040.0,,,,,,,,,,,,,,,
Брауни 250,0.0,5.0,шт,,,,3995.0,1.0,1.0,799.0,3995.0,,,,,,,,,,,,,,,
Макарон,0.0,21.0,шт,100.0,2100.0,80.0,1680.0,,1.0,180.0,3780.0,,,,,,,,,,,,,,,
Бразилия Сульдеминас 250,0.0,5.0,шт,,,,3695.0,1.0,1.0,739.0,3695.0,,,,,,,,,,,,,,,
Раф,0.0,12.0,шт,41.2,494.43,628.11,3105.57,1.0,1.0,300.0,3600.0,,,,,,,,,,,,,,,
Блины с творогом,0.0,12.0,шт,170.0,2040.0,73.63,1502.0,,1.0,295.17,3542.0,,,,,,,,,,,,,,,
Колумбия Уила 250,0.0,4.0,шт,,,,3436.0,1.0,1.0,859.0,3436.0,,,,,,,,,,,,,,,
Флетуайт альт.,0.0,11.0,шт,66.85,735.34,363.73,2674.66,1.0,1.0,310.0,3410.0,,,,,,,,,,,,,,,
Колумбия Богота 250,0.0,4.0,шт,,,,3316.0,1.0,1.0,829.0,3316.0,,,,,,,,,,,,,,,
Латте альт.,0.0,11.0,шт,74.57,820.31,302.29,2479.69,1.0,1.0,300.0,3300.0,,,,,,,,,,,,,,,
Тыквенный пирог,0.0,12.0,шт,100.0,1200.0,170.0,2040.0,1.0,1.0,270.0,3240.0,,,,,,,,,,,,,,,
Блины Том - ям,0.0,10.0,шт,200.0,2000.0,55.35,1107.0,,1.0,310.7,3107.0,,,,,,,,,,,,,,,
Кедровый М,0.0,11.0,шт,43.5,478.52,543.65,2601.48,1.0,1.0,280.0,3080.0,,,,,,,,,,,,,,,
Пирожное Шу,0.0,15.0,шт,120.0,1800.0,70.0,1260.0,,1.0,204.0,3060.0,,,,,,,,,,,,,,,
Боул семга ВК,0.0,7.0,шт,139.29,975.0,211.49,2062.0,1.0,1.0,433.86,3037.0,,,,,,,,,,,,,,,
Салат Цезарь,0.0,9.0,шт,24.44,220.0,1251.82,2754.0,1.0,1.0,330.44,2974.0,,,,,,,,,,,,,,,
Бэрри 250,0.0,4.0,шт,,,,2956.0,1.0,1.0,739.0,2956.0,,,,,,,,,,,,,,,
Кения Найроби 1 кг,0.0,1.0,шт,,,,2949.0,1.0,1.0,2949.0,2949.0,,,,,,,,,,,,,,,
Бразилия серрадо 250,0.0,4.0,шт,369.2,1476.8,97.45,1439.2,,1.0,729.0,2916.0,,,,,,,,,,,,,,,
Колумбия Богота 1 кг,0.0,1.0,шт,,,,2819.0,1.0,1.0,2819.0,2819.0,,,,,,,,,,,,,,,
Чай Апельсин,0.0,10.0,шт,9.68,96.8,2792.56,2703.2,1.0,1.0,280.0,2800.0,,,,,,,,,,,,,,,
Салат Баклажан,0.0,8.0,шт,82.5,660.0,310.91,2052.0,1.0,1.0,339.0,2712.0,,,,,,,,,,,,,,,
Кэнди 1 кг,0.0,1.0,шт,,,,2649.0,1.0,,2649.0,2649.0,,,,,,,,,,,,,,,
Кедровый Б,0.0,8.0,шт,55.02,440.13,499.82,2199.87,1.0,,330.0,2640.0,,,,,,,,,,,,,,,
Натти 250,0.0,4.0,шт,377.0,1508.0,74.8,1128.0,,,659.0,2636.0,,,,,,,,,,,,,,,
Руанда Киву 250 гр,0.0,3.0,шт,,,,2580.0,1.0,,860.0,2580.0,,,,,,,,,,,,,,,
Фрутти 1кг,0.0,1.0,шт,,,,2579.0,1.0,,2579.0,2579.0,,,,,,,,,,,,,,,
Молоко / 50 гр,0.0,64.0,шт,92.0,5888.0,-56.52,-3328.0,-1.0,,40.0,2560.0,,,,,,,,,,,,,,,
Бэрри 1кг,0.0,1.0,шт,,,,2549.0,1.0,,2549.0,2549.0,,,,,,,,,,,,,,,
Коста Рика сан Хосе 250,0.0,3.0,шт,144.73,434.2,486.6,2112.8,1.0,,849.0,2547.0,,,,,,,,,,,,,,,
Эфиопия гуджи 250,0.0,3.0,шт,,,,2457.0,1.0,,819.0,2457.0,,,,,,,,,,,,,,,
Рис индейка терияки ВК,0.0,7.0,шт,160.71,1125.0,117.78,1325.0,,,350.0,2450.0,,,,,,,,,,,,,,,
Боул индейка ВК,0.0,7.0,шт,65.71,460.0,428.26,1970.0,,,347.14,2430.0,,,,,,,,,,,,,,,
Тарталетка Орех,0.0,9.0,шт,180.0,1620.0,50.0,810.0,,,270.0,2430.0,,,,,,,,,,,,,,,
Муравейник,0.0,10.0,шт,120.0,1200.0,92.58,1111.0,,,231.1,2311.0,,,,,,,,,,,,,,,
Субмарина Набор дрипов ассорти №23 / 30 шт,0.0,1.0,шт,1650.0,1650.0,38.79,640.0,,,2290.0,2290.0,,,,,,,,,,,,,,,
Фрутти 250,0.0,3.0,шт,,,,2247.0,1.0,,749.0,2247.0,,,,,,,,,,,,,,,
Отбивная куриная ВК,0.0,5.0,шт,62.0,310.0,577.42,1790.0,,,420.0,2100.0,,,,,,,,,,,,,,,
Колумбия Декаф 250,0.0,2.0,шт,,,,1878.0,,,939.0,1878.0,,,,,,,,,,,,,,,
Батончик ПП,0.0,14.0,шт,,,,1840.0,,,131.43,1840.0,,,,,,,,,,,,,,,
Субмарина МЕГА ДРИПЫ Симс / 6 шт,0.0,2.0,шт,790.0,1580.0,12.66,200.0,,,890.0,1780.0,,,,,,,,,,,,,,,
Фанки 250,0.0,2.0,шт,,,,1758.0,,,879.0,1758.0,,,,,,,,,,,,,,,
Батч-брю Лоукаф 250 гр,0.0,2.0,шт,,,,1698.0,,,849.0,1698.0,,,,,,,,,,,,,,,
Субмарина Набор дрипов ФЕРМЕНТАЦИЯ / 16 шт,0.0,1.0,шт,1280.0,1280.0,31.25,400.0,,,1680.0,1680.0,,,,,,,,,,,,,,,
Чай Клюква,0.0,6.0,шт,9.81,58.88,2753.26,1621.12,,,280.0,1680.0,,,,,,,,,,,,,,,
Эфиопия Оромия 250,0.0,2.0,шт,217.1,434.2,277.71,1205.8,,,820.0,1640.0,,,,,,,,,,,,,,,
Дрип Бэрри (30 шт),0.0,1.0,шт,,,,1639.0,,,1639.0,1639.0,,,,,,,,,,,,,,,
Субмарина Набор дрипов КОНТИНЕНТЫ / 16 шт,0.0,1.0,шт,1180.0,1180.0,33.9,400.0,,,1580.0,1580.0,,,,,,,,,,,,,,,
Фраппучино,0.0,4.0,шт,40.14,160.57,846.63,1359.43,,,380.0,1520.0,,,,,,,,,,,,,,,
Айс Латте,0.0,5.0,шт,56.09,280.45,434.85,1219.55,,,300.0,1500.0,,,,,,,,,,,,,,,
"Вода 0,5 газ / не газ",0.0,16.0,шт,,,,1440.0,,,90.0,1440.0,,,,,,,,,,,,,,,
Чай «Посконный» конопля + хмель 80 гр,0.0,2.0,шт,426.0,852.0,66.67,568.0,,,710.0,1420.0,,,,,,,,,,,,,,,
Сок в бутылочке IL PRIMO 0.2 л,0.0,10.0,шт,,,,1300.0,,,130.0,1300.0,,,,,,,,,,,,,,,
Субмарина Набор дрипов №24  / 16 шт,0.0,1.0,шт,980.0,980.0,30.61,300.0,,,1280.0,1280.0,,,,,,,,,,,,,,,
Дрип Бразилия Суль-де-Минас 10 шт,0.0,2.0,шт,,,,1238.0,,,619.0,1238.0,,,,,,,,,,,,,,,
Чай «Бабка» с корнеплодами 80 гр,0.0,2.0,шт,360.0,720.0,66.67,480.0,,,600.0,1200.0,,,,,,,,,,,,,,,
Эфиопия Мукера 120 часов 250 гр,0.0,1.0,шт,,,,1139.0,,,1139.0,1139.0,,,,,,,,,,,,,,,
Матча альт,0.0,3.0,шт,56.33,168.99,556.84,941.01,,,370.0,1110.0,,,,,,,,,,,,,,,
Молочный шоколад КАПУЧИНО НА КОКОСЕ,0.0,2.0,шт,,,,1080.0,,,540.0,1080.0,,,,,,,,,,,,,,,
Темный шоколад ПЕРУАНСКАЯ ВИШНЯ,0.0,2.0,шт,360.0,720.0,47.22,340.0,,,530.0,1060.0,,,,,,,,,,,,,,,
Кофе персонал,0.0,20.0,шт,19.87,397.4,151.64,602.6,,,50.0,1000.0,,,,,,,,,,,,,,,
Темный шоколад Колумбия ANEI 70 %,0.0,2.0,шт,340.0,680.0,47.06,320.0,,,500.0,1000.0,,,,,,,,,,,,,,,
Темный шоколад ПРЯНАЯ КЛУБНИКА,0.0,2.0,шт,,,,1000.0,,,500.0,1000.0,,,,,,,,,,,,,,,
Темный шоколад ОРЕХОВЫЙ ВАЙБ,0.0,2.0,шт,350.0,700.0,40.0,280.0,,,490.0,980.0,,,,,,,,,,,,,,,
Белый шоколад ГРЕШЬЮ,0.0,2.0,шт,,,,960.0,,,480.0,960.0,,,,,,,,,,,,,,,
Индонезия Суматра Гайо,0.0,1.0,шт,,,,929.0,,,929.0,929.0,,,,,,,,,,,,,,,
Темный шоколад 250 гр TASTY,0.0,1.0,шт,,,,919.0,,,919.0,919.0,,,,,,,,,,,,,,,
Эспрессо Тоник с лаймом,0.0,3.0,шт,20.89,62.67,1288.22,807.33,,,290.0,870.0,,,,,,,,,,,,,,,
Кения Найроби 250 гр,0.0,1.0,шт,,,,869.0,,,869.0,869.0,,,,,,,,,,,,,,,
Дрип Коста-Рика Вара Бланка / 10 шт,0.0,1.0,шт,,,,864.0,,,864.0,864.0,,,,,,,,,,,,,,,
Гватемала Сантьяго 250,0.0,1.0,шт,,,,849.0,,,849.0,849.0,,,,,,,,,,,,,,,
Гватемала Фуэго 250,0.0,1.0,шт,,,,849.0,,,849.0,849.0,,,,,,,,,,,,,,,
Чай Глинтвейн,0.0,3.0,шт,8.4,25.2,3233.33,814.8,,,280.0,840.0,,,,,,,,,,,,,,,
Чай Рухуна 100 гр,0.0,2.0,шт,,,,838.0,,,419.0,838.0,,,,,,,,,,,,,,,
Дрип микс 1 шт. TASTY,0.0,6.0,шт,,,,810.0,,,135.0,810.0,,,,,,,,,,,,,,,
Флорал 250,0.0,1.0,шт,442.0,442.0,80.77,357.0,,,799.0,799.0,,,,,,,,,,,,,,,
Кофе СССР,0.0,3.0,шт,9.77,29.3,2459.73,720.7,,,250.0,750.0,,,,,,,,,,,,,,,
Эфиопия Иргачефф 250,0.0,1.0,шт,,,,749.0,,,749.0,749.0,,,,,,,,,,,,,,,
Кэнди 250,0.0,1.0,шт,409.5,409.5,75.58,309.5,,,719.0,719.0,,,,,,,,,,,,,,,
Чай с пряностями Тарусское чаепите «Петушок» 80 гр,0.0,1.0,шт,420.0,420.0,66.67,280.0,,,700.0,700.0,,,,,,,,,,,,,,,
Дрип Колумбия Уила 10 шт,0.0,1.0,упак,,,,699.0,,,699.0,699.0,,,,,,,,,,,,,,,
Эспрессо Тоник с лаймом Б,0.0,2.0,шт,44.12,88.24,670.63,591.76,,,340.0,680.0,,,,,,,,,,,,,,,
Молочный коктейль Б,0.0,2.0,шт,23.37,46.74,1312.07,613.26,,,330.0,660.0,,,,,,,,,,,,,,,
Улун в стакан,0.0,3.0,шт,9.68,29.04,2172.73,630.96,,,220.0,660.0,,,,,,,,,,,,,,,
Матча,0.0,2.0,шт,37.28,74.56,758.37,565.44,,,320.0,640.0,,,,,,,,,,,,,,,
Американо альт. М,0.0,3.0,шт,33.28,99.84,531.01,530.16,,,210.0,630.0,,,,,,,,,,,,,,,
Орешки кедр / 8 гр,0.0,9.0,шт,,,,630.0,,,70.0,630.0,,,,,,,,,,,,,,,
Субмарина Бразилия Перископ Мармелада 200 гр,0.0,1.0,шт,460.0,460.0,36.96,170.0,,,630.0,630.0,,,,,,,,,,,,,,,
Шоколад Индонезия Ransiki 100 %,0.0,1.0,шт,430.0,430.0,46.51,200.0,,,630.0,630.0,,,,,,,,,,,,,,,
Чай «Дивный» 80 гр,0.0,1.0,шт,360.0,360.0,66.67,240.0,,,600.0,600.0,,,,,,,,,,,,,,,
Чай Молочный улун 100 гр,0.0,1.0,шт,,,,600.0,,,600.0,600.0,,,,,,,,,,,,,,,
"Шоколад  НА КУСЬ / Tasty, 5г",0.0,20.0,шт,,,,600.0,,,30.0,600.0,,,,,,,,,,,,,,,
Капучино декаф Б,0.0,2.0,шт,36.49,72.98,694.74,507.02,,,290.0,580.0,,,,,,,,,,,,,,,
Шоколад Гондурас Asopropib 100%,0.0,1.0,шт,430.0,430.0,34.88,150.0,,,580.0,580.0,,,,,,,,,,,,,,,
Американо АЙС,0.0,2.0,шт,35.69,71.38,684.53,488.62,,,280.0,560.0,,,,,,,,,,,,,,,
Молочный шоколад неДубайский,0.0,1.0,шт,400.0,400.0,40.0,160.0,,,560.0,560.0,,,,,,,,,,,,,,,
Темный шоколад Индонезия Ransiki 70 %,0.0,1.0,шт,380.0,380.0,47.37,180.0,,,560.0,560.0,,,,,,,,,,,,,,,
Чай Имбирный,0.0,2.0,шт,9.68,19.36,2792.56,540.64,,,280.0,560.0,,,,,,,,,,,,,,,
"Чай ""Женьшень улун"" 100 гр",0.0,1.0,шт,195.0,195.0,182.05,355.0,,,550.0,550.0,,,,,,,,,,,,,,,
Белый шоколад МАЛИНОВЫЙ БАМБЛ,0.0,1.0,шт,,,,540.0,,,540.0,540.0,,,,,,,,,,,,,,,
Дрип кофе в стакан,0.0,3.0,шт,9.68,29.04,1759.5,510.96,,,180.0,540.0,,,,,,,,,,,,,,,
Молочный шоколад МОЛОЧНЫЙ ЭРИТРИТ,0.0,1.0,шт,360.0,360.0,47.22,170.0,,,530.0,530.0,,,,,,,,,,,,,,,
Темный шоколад 70% ДОМИНИКАНА,0.0,1.0,шт,360.0,360.0,41.67,150.0,,,510.0,510.0,,,,,,,,,,,,,,,
Темный шоколад НА ЭРИТРИТЕ 70%,0.0,1.0,шт,360.0,360.0,38.89,140.0,,,500.0,500.0,,,,,,,,,,,,,,,
Чай Тегуанинь 100 гр,0.0,1.0,шт,215.0,215.0,132.56,285.0,,,500.0,500.0,,,,,,,,,,,,,,,
Белый шоколад ВАНИЛЬНОЕ НЕБО,0.0,1.0,шт,350.0,350.0,37.14,130.0,,,480.0,480.0,,,,,,,,,,,,,,,
